Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-OCN-Cd,0.873333333333333,5.87427273327393,2.58333333333333,0.534956811865944,6.33333333333333,1.69,3808.99,2.5,1.5,3.498,0.432473505932252,-0.1807766395
SH-OCN-Co,0.81,5.44435349316649,2.615,0.455779073674793,8.77777777777778,1.88,3808.99,2.33333333333333,1.5,3.498,0.335111921602321,-0.1013002412
SH-OCN-Cu,0.803333333333333,5.46639565052093,2.61833333333333,0.447277935696606,7.44444444444444,1.9,3808.99,2.33333333333333,1.5,3.498,0.325320354932386,0.0382459105
SH-OCN-Fe,0.826666666666667,5.23740290469215,2.60666666666667,0.476922164006862,9.44444444444444,1.83,3808.99,2.33333333333333,1.5,3.498,0.360046293319808,-0.0952644012
SH-OCN-Mg,1,8.61594302372212,2.52,0.678328679969553,6.66666666666667,1.31,3808.99,2.16666666666667,1.5,3.498,0.639296488336984,-0.5888614662
SH-OCN-Mn,0.92,5.67765955284307,2.56,0.590584603914435,10.1111111111111,1.55,3808.99,2.33333333333333,1.5,3.498,0.507444578254611,-0.3272812128
SH-OCN-Ni,0.8,5.50995442445474,2.62,0.443019472906049,8.11111111111111,1.91,3808.99,2.33333333333333,1.5,3.498,0.320468407179241,0.0101527122
SH-OCN-Pb,0.66,5.50995442445474,2.69,0.319140970908075,4.5,2.2,3808.99,2.66666666666667,1.16666666666667,3.498,0.176918060129541,-0.1929618812
SH-OCN-Pd,0.703333333333333,5.11498858605289,2.66833333333333,0.319140970908075,7.88888888888889,2.2,3808.99,2.5,1.5,3.498,0.202072594216369,0.0527489938
SH-OCN-Pt,0.676666666666667,5.39972563763798,2.68166666666667,0.319140970908075,7.66666666666667,2.2,3808.99,2.66666666666667,1.5,3.498,0.183393929379719,0.1464174705
SH-OCN-Sr,1.12,6.84548515249581,2.46,0.787757332306276,21.4444444444444,0.95,3808.99,2.5,1.5,3.498,0.841130192063036,-0.9083999995
SH-OCN-Zn,0.886666666666667,5.96782779992231,2.57666666666667,0.551131362113503,6.5,1.65,3808.99,2.33333333333333,1.5,3.498,0.453688586293873,-0.1748901528
SH-SCN-Ba,0.853333333333333,5.842415964179,2.30666666666667,0.685139312535294,21.2222222222222,0.89,3808.99,2.83333333333333,1.5,3.865,0.875042856093346,-0.5727920773
SH-SCN-Be,0.626666666666666,10.1843281053303,2.42,0.417382851233086,7,1.57,3808.99,2.16666666666667,1.5,3.865,0.496621921921831,0.0434985093
SH-SCN-Ca,0.816666666666666,6.7454546445265,2.325,0.646686671641399,21.7777777777778,1,3808.99,2.5,1.5,3.865,0.812916559883813,-0.5347861273
SH-SCN-Cd,0.586666666666666,5.43419092271579,2.44,0.365948438141932,6.5,1.69,3808.99,2.66666666666667,1.5,3.865,0.432473505932252,0.045221661
SH-SCN-Co,0.523333333333333,5.03647986329233,2.47166666666667,0.285662686264043,8.88888888888889,1.88,3808.99,2.5,1.5,3.865,0.335111921602321,0.1079050293
